unit_number,area,price,available_on,display_lease_term
0110,912,3288,2024-11-06,12
0203,912,3313,2024-12-22,13
0205,912,3313,2024-12-16,13
0404,912,3213,2025-01-27,13
0507,912,3313,2024-11-06,12
0802,912,3288,2024-11-13,13
0805,912,3413,2024-11-06,12
0809,912,3413,2024-11-06,12
0906,912,3288,2024-11-06,12
1005,912,3313,2024-11-06,12
1006,912,3263,2024-11-06,12
1007,912,3313,2024-11-21,13
1101,659,3072,2024-12-21,13
1110,659,3022,2024-12-08,13
1202,912,3388,2024-11-07,12
1305,659,3088,2024-11-06,13
1408,912,3263,2024-11-06,12
